,link,title,price,rating,ratingCount,stock,description
209,/WeCare-Disposable-Face-Individually-Wrapped/dp/B08MFTHCHW/ref=sr_1_151?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-151,"WeCare Disposable Face Mask Individually Wrapped - 50 Pack, Bandana Print Masks - 3 Ply",$19.98,4.7 out of 5 stars,"3,443 ratings",In Stock.," READY TO GO: Each mask in this box is individually sealed so they are perfect to throw in your purse, backpack, gym bag, or even stash in your pocket! Perfect for dispensers, offices, schools and reception areas. LIGHT & BREATHABLE: Designed for the utmost in comfort, these individual masks are painless and adjustable. They offer full coverage of the nose and mouth and are comfortable for extended wear, including air travel. 3 PROTECTIVE LAYERS: The innermost layer is super soft and gentle on the skin, and the out leak-proof layer covers the high density filter. Made with non-woven materials, these paper masks are latex free. EFFECTIVE FILTRATION: The glass free filter is effective at filtering many types of particles. Perfect for everyday wear. An adjustable wire runs along the top to serve as an adjustable nose clip. MULTI USE COLORED MASKS: Designed for non medical use, these disposable masks come in all kinds of colors and in both kids and adult sizes. Also available are black, blue, pink, tie dye, navy, red, peach, plaid and other colors!"
210,/Clinivex-Disposable-Protective-Breathable-Earloops/dp/B08CX7CTVC/ref=sr_1_152?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-152,"Disposable Face Masks, Clinivex Colored Face Masks of 50 Pack, 3-Ply Breathable Face Masks with Nose Wire.",$12.99,4.4 out of 5 stars,496 ratings,In Stock.," 5 COLORS FACE MASKS - (10pcs of Pink, Purple, Orange, Yellow, Blue) Multicolored Disposable Face masks feature a contouring nose strip, elastic ear loops, and three layers of protection. Pack of 50 single use face masks for adult. Latex-Free. 3-PLY PROTECTION - Built with two layers of non-woven fabric and a melt-blown (MB) non-woven filter layer in between. Providing increased filtration comparing to woven cloth masks. COMFORT FIT - Enjoy our breathable, anti-fog masks that are designed to be worn all day in comfort, with or without glasses. Each soft-lined face mask has a 0.04mm thickness that adds almost no pressure to the face and comfortably fits most. ADJUSTABLE NOSE PIECE - Press the adjustable nose piece to fit on the bridge of the nose. Adjust the mask so that it fits comfortably and securely over the face without excessive strain. WORRY-FREE - Triple-folded, multi-structural design for daily protection. Pack of 50 single use face masks for adult. Dispose of after each use. Latex-Free. Sold in sealed packages."
211,/Disposable-Medical-Hospital-Protective-Safety/dp/B08FJF2D6K/ref=sr_1_153?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-153,"Face Masks Medical Black Disposable Face Mask 4 Ply, Breathable Comfortable Hospital Safety Mask with Adjustable Earloops Metal Nose Wire Clip for Ourdoor, Office, Travel and Daily Use(50PCS)",$16.38,4.6 out of 5 stars,348 ratings,In Stock.," Non-woven+Meltblown Farbic ✅【Professional Quality】we are 4 layers disposable face masks. For the health of you and your family, please do not buy masks that are not guaranteed by other companies. If you have any questions, please feel free to contact us. The American customer service team is always available to help. ✅【Super Protection】- 4 layers of disposable face mask, including 2 layers of non-woven outer layer, middle layer of meltblown fabric filter and inner soft non-woven fabric to provide comfort. It can protect and completely block out the nose and mouth from automobile exhaust, and pollen or other harmful substances. ✅【Recommended Design】 - ultra soft ear loops eliminate pressure to the ears. Inner layer is made of soft polyester material, gentle to the skin. Wrap-around design, full coverage, built-in nose bridge fixing strip, soft fit to the skin contact surface. Will not hurt your ears if worn for a long time. ✅【Non-polluted Packaging】 - Use high-quality boxes for airtight packaging, you will receive pollution-free disposable masks. This upgrade mouth cover is widely use at home, work outside, Outdoor cycling,decoration. ✅【Basic Mask Information】 - 50 disposable face masks in a box. Color: black. Mask size: 17.5cm * 9.5cm, universal size"
212,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg7_1?ie=UTF8&adId=A09900842C1X0RUFYEGDF&url=%2FWAPIKE-Black-Disposable-Filter-Protection%2Fdp%2FB08SLVLB63%2Fref%3Dsr_1_154_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618282886%26s%3Dhpc%26sr%3D1-154-spons%26psc%3D1%26smid%3DARTW3SSE09TGB&qualifier=1618282886&id=5091603051374651&widgetName=sp_mtf,"WAPIKE Black Face Masks, 100 Pcs Black Disposable Face Masks 3 Ply Filter Protection",$14.99,4.6 out of 5 stars,"8,831 ratings",In Stock.," 100pcs black Disposable Face Masks: 3-ply With Elastic Earloops for Day-to-day protection, it has a stronger filtering effect and is more breathable Black Mask: 3 Layers of Material, so you can breathe easily and safely in any environment. Disposable Mask: Easy to use--Keep Mask: it is Made of environmental friendly material. Universal fitted elastic ear loops for a variety of users for instant protection Widely use: great for outdoor public areas, schools, offices, and home usage."
213,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg7_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_155_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618282886%26s%3Dhpc%26sr%3D1-155-spons%26psc%3D1&qualifier=1618282886&id=5091603051374651&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$24.95,4.5 out of 5 stars,"87,960 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority."
214,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg7_1?ie=UTF8&adId=A10362062LGBO71ILWJRS&url=%2FDisposable-Face-Masks-Pack-Black%2Fdp%2FB08HZ3WRV5%2Fref%3Dsr_1_156_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618282886%26s%3Dhpc%26sr%3D1-156-spons%26psc%3D1%26smid%3DA29QRSW5VAWBBS&qualifier=1618282886&id=5091603051374651&widgetName=sp_mtf,"Disposable Face Masks, Pack of 50 Black Face Masks",$9.99,4.6 out of 5 stars,"20,597 ratings",In Stock.," Disposable Face Masks: 3-Layers Protection, the inner layer is a soft non-woven fabric, which can absorb the moisture from the breath of the wearer. The middle layer is a melt-blown polypropylene filtration layer for better filter out the particles in the air. The outer layer is a water-resistant layer which can block the splashing liquid in the air. Face Masks: Adjustable nose clip can help to create a tight seal & stop glasses from fogging. Comfortable and soft elastic ear loops can eliminate pressure to the ears for maximum comfort. And it can be used with earloop holders to reduce the pain and pressure of wearing a mask in the ear for a long time. Disposable Masks: Multiple folds design can completely block out the chin, nose and mouth from dust, smoke, debris,automobile exhaust, and pollen. Masks: Suitable for home, office, school, catering services, food processing, environmental cleaning and other public places. Mouth Mask: There are 50 pcs disposable face masks in a box, and these masks is a general use mask."
215,/Bio-th-Reusable-Disposable-Protection-Efficiency%E3%80%8B95/dp/B089344XZF/ref=sr_1_157?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-157,Face Masks Reusable 20 Pack 5Ply Cup Dust Face Mask for Women Men with Nose Wire,$14.99,4.4 out of 5 stars,"9,186 ratings",In Stock.," [ Face Masks ], Made of 5 Layer non-woven fabric, Melt-Blown, Moisture-resistant, Non-irritant, REUSABLE Face Mask [ Masks ], High density non-woven fabric - nano filtration - filtration - highly breathable non-woven fabric that can prevent dust etc. [ Disposable Face Masks ], High level breathing protection, filter efficiency, breathable mesh composite fabric, suitable for all seasons (basically seasonal factors do not need to be considered). [ Disposable Masks ], 3D earrings and lightweight design make breathing easier. High quality elastic earbands make it comfortable to wear for a long time. [ Cup Dust Face Mask ], Non-Medical Mask, Pack of 20 Pcs. Kindly Check Size before buying. 5-Layers Breathable Non-Woven with Nose Wire and Ear Loops"
216,/Disposable-Breathable-Protection-Knitted-Earloops/dp/B08716L7MH/ref=sr_1_158?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-158,"Disposable Face Masks, Breathable Mask for Face Anti Dust Pollen, Daily Protection Mask with Filter Layer and Knitted Earloops Blue Face Mask (Pack of 50)",,4.5 out of 5 stars,"5,058 ratings",In Stock.," 【General use】Size for adult: 6.9 x 3.7 inch / 17.5 x 9.5 cm. Safe and reliable 3-ply structure, the middle filter layer is polypropylene spunbonded fabric (melt-blown) 【Disposable masks】Experts advice wearing it for up to 4 hours. Should be Disposed off after use for your safety, and avoid secondary pollution. When the face mask is damaged, deformed, wet, or other abnormal conditions, the mask should be replaced immediately. 【Factory direct sale】50 Pcs Disposable Masks with adjustable memory nose clip and comfortable earloops, waterproof and breathable masks, the best choice for everyday. All face masks are also packed in the same sealed bag to avoid secondary pollution during transportation. 【Professional design】Independently designed packaging box for easy access, please store in a cool and dry place. If you have any questions or product broke, pls contact us through the ""ask seller"" of the order. 【Made in China】The packaging box is made of paper, which may tear during transportation. The disposable masks in the box is still in a sealed bag, indicating that the packaging is brand new, pls don't worry."
217,/Childrens-Disposable-Protection-Knitted-Earloops/dp/B08P1DF7XR/ref=sr_1_158?keywords=face+mask&qid=1618282886&s=hpc&sr=1-158,"Black Face Mask for Kids, Childrens Face Mask Black, Kids Black Mask, Kids Black Disposable Masks, Anti Pollen Dust Face Mask Black, Daily Protection Mask with Filter Layer and Knitted Earloops 50pcs",$15.99,4.6 out of 5 stars,"4,803 ratings",In Stock.," 【General use】Size for kids: 5.7 x 3.54 inch / 14.5 x 9.0 cm. Safe and reliable 3-ply structure, the middle filter layer is polypropylene spunbonded fabric (melt-blown) 【Disposable masks】Experts advice wearing it for up to 4 hours. Should be Disposed off after use for your safety, and avoid secondary pollution. When the face mask is damaged, deformed, wet, or other abnormal conditions, the mask should be replaced immediately. 【Factory direct sale】 Total 50 pcs, with 1 band. Disposable Face Mask with adjustable memory nose clip and comfortable earloops. All face masks are also packed in the same sealed bag to avoid secondary pollution during transportation. 【Professional design】Independently designed packaging box for easy access, please store in a cool and dry place. If you have any questions or product broke, pls contact us through the ""ask seller"" of the order. 【Made in China】These masks are made in China."
218,/dp/B08KDK387Q/ref=sr_1_158?keywords=face+mask&qid=1618282886&s=hpc&sr=1-158,"Childrens Face Mask, White Face Masks for Kids, Child Disposable Face Masks, Breathing Mask, 3 Ply Facial Cover with Elastic Earloop for School and Daily Use (Pack of 50)",$15.99,4.6 out of 5 stars,"4,803 ratings","In stock on April 21, 2021."," 【General use】Size for kids: 5.7 x 3.54 inch / 14.5 x 9.0 cm. Safe and reliable 3-ply structure, the middle filter layer is polypropylene spunbonded fabric (melt-blown) 【Disposable masks】Experts advice wearing it for up to 4 hours. Should be Disposed off after use for your safety, and avoid secondary pollution. When the face mask is damaged, deformed, wet, or other abnormal conditions, the mask should be replaced immediately. 【Factory direct sale】 Total 50 pcs. Disposable Face Mask with adjustable memory nose clip and comfortable earloops. All face masks are also packed in the same sealed bag to avoid secondary pollution during transportation. 【Professional design】Independently designed packaging box for easy access, please store in a cool and dry place. If you have any questions or product broke, pls contact us through the ""ask seller"" of the order. 【Made in China】These masks are made in China."
219,/dp/B08NF3QXPB/ref=sr_1_158?keywords=face+mask&qid=1618282886&s=hpc&sr=1-158,"Childrens Face Mask for Boys, Cute Cartoon Disposable Mask, Printed Face Mask for Boys, Anti Pollen Dust Face Mask, Daily Protection Mask with Filter Layer and Knitted Earloops (Pack of 50)",$11.99,4.6 out of 5 stars,"4,803 ratings",In Stock.," 【General use】Size for kids: 5.7 x 3.54 inch / 14.5 x 9.0 cm. Safe and reliable 3-ply structure, the middle filter layer is polypropylene spunbonded fabric (melt-blown) 【Disposable masks】Experts advice wearing it for up to 4 hours. Should be Disposed off after use for your safety, and avoid secondary pollution. When the face mask is damaged, deformed, wet, or other abnormal conditions, the mask should be replaced immediately. 【Factory direct sale】 Total 50 pcs, with 1 band. Disposable Face Mask with adjustable memory nose clip and comfortable earloops. All face masks are also packed in the same sealed bag to avoid secondary pollution during transportation. 【Professional design】Independently designed packaging box for easy access, please store in a cool and dry place. If you have any questions or product broke, pls contact us through the ""ask seller"" of the order. 【Made in China】These masks are made in China."
220,/ANAiRUi-Turmeric-Clay-Mask-Minerals/dp/B086V843R8/ref=sr_1_159?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-159,"ANAiRUi Turmeric Clay Mask - Green Tea Detox Clay Mask - Dead Sea Minerals Mud Mask, Spa Facial Mask Set, 2.5 oz each",,4.6 out of 5 stars,582 ratings,In Stock.," ANAIRUI SPA FACIAL MASK --Facial therapy for all skin types. Turmeric clay mask, green tea clay mask and dead sea mud mask 3 in one set, all content nicinamide and hyaluronic acid, deep cleansing while intensely hydrates, restore soft, clean, refresher and nourished skin look after use. Perfect for mud spa facial care 3 times per week. DEAD SEA MUD MASK -- Mineral-infused Mud Mask, Rich in minerals and high quality sea salt, the mud aids skin renewal, creating a gentle exfoliation effect that helps to cleanse the skin pores, draws out oils and toxins, removes dead skin cells and provide a soothing, nourished and clean feeling. TURMERIC BRIGHTENING CLAY MASK -- Turmeric face mask boost radiance, help achieve bright, healthy complexions, improve uneven skin tone, skin texture and nourish. Anti acne, purify pores, remove toxins, correct pigmentation. ANAiRUi Turmeric clay mask gives you deep hydrating and supple, pump, radiant look after use. GREEN TEA DETOX CLAY MASK -- Green tea has been proven natural antioxidant and active in skincare. Green tea clay mud mask helps protect skin, draws out toxins, and unblocks pores. Combat excess oil and toxins, pores are tighten. It leaves skin feeling soft, refreshed and perfectly hydrated. NO HARMFUL CHEMICALS -- ANAiRUi Skincare Solution combines the best scientifically studied ingredients with plant extracts known for their antioxidant benefits, to give you safer and faster skin renewal.Manufactured carefully, safe and clean, no parabens or sulfates and is Cruelty Free.【Love it or Money Back. Risk-free purchase with 60 days money back guarantee!】"
221,/Quality-Durables-Washable-Reusable-Heather/dp/B088BY1GJN/ref=sr_1_160?dchild=1&keywords=face+mask&qid=1618282886&s=hpc&sr=1-160,Quality Durables Unisex Adult and Kids 4-Pack Washable Reusable Face Mask,$9.99,4.1 out of 5 stars,"11,237 ratings",," 96% Cotton, 4% Spandex Imported Machine Wash An Amazon Brand - This 4-pack face covering was designed for fit and comfort Featuring a double layer of lightweight jersey fabric for breathability and comfort, these face coverings have adjustable ear loops made of the same fabric for a sturdy and snug, but comfortable fit. The CDC recommends the use of cloth face coverings while in public to reduce community spread by asymptomatic persons Face coverings are not FDA-approved, not intended for medical use, and not proven to reduce the transmission of disease."
