,Unnamed: 0,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop,score
399,399,/Disposable-Masks-Adult-Safety-Protection/dp/B08F2H35ZN/ref=sr_1_287?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-287,"Face Mask, Disposable Masks for Adult 3-Ply Mouth Cover Dust Safety Protection (Pack of 50)",,4.7 out of 5 stars,312 ratings,In Stock.," 3 LAYERS OF MATERIAL - The facemask is made of 3 layers of high-quality skin-friendly non-woven fabric & meltblown interior filter to last all day. Pack of 50 pcs masks disposable bulk, enough to meet your family /staff /friends' demands. BREATHABLE AND COMFORTABLE - The Jiehuxi disposable face mask are used for healthcare and general daily use for personal protection. The face mask with adjustable nose clip design for a comfortable fit, one size fits all. WIDELY USE - These adult face masks are suitable for Office, home, salon, cycling, grocery store, doctors' visits and simply general public. It' s a best mask to wear it when you travel through congested airports, bus terminals, malls, party and busy city streets. Keep you from dust, PM 2.5, haze, smoke, automobile exhaust, etc. NOT FOR MEDICAL USE - The disposable masks should only be worn as a precautionary measure as they are not proven to reduce the transmission of any disease. They are not intended for industrial or medical use. NOTES - High quality certified face masks. Please feel free to contact us if you have any questions. Our USA customer service team is ready to help.","adult, ",red,non-woven melt-spray,filter pocket,unisex,disposable,,0
398,398,/Single-use-Non-sterile-Appropriate-medical-personal/dp/B08KWWJHN4/ref=sr_1_286?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-286,"BYD CARE Single-use Level II Ear Loop Mask, Non-sterile, Appropriate for medical or personal use (50)",,4.6 out of 5 stars,219 ratings,In Stock.," One-size-fit-all design with elastic ear loops Soft, easy-to-wear, and comfortable experience 10 pcs per bag; 5 bags per box Easy for distribution; Perfect for indoor and outdoor application Consist of three layers of high quality nonwoven material",universal,,,,unisex,disposable,elastic,0
198,198,/50-PCS-Disposable-Face-Mask/dp/B08P8CSFJP/ref=sr_1_149?dchild=1&keywords=face+mask&qid=1618898600&s=hpc&sr=1-149,50 PCS Disposable Face Mask - Adult Unisex Dust Mask Women and Men Safety Facial Mouth Covers,,4.6 out of 5 stars,"2,239 ratings",In Stock.," More Safe & Convenient: There are 50 PCS（ Blue 10PCS/ Black 10PCS/ Gary 10PCS/ Pink 10PCS/ White 10PCS） disposable face masks in a box can stem the face covers from getting dirty during transportation, so it's more safe convenient for you to carry. everyone must know,it should be disposed of after each use Skin-friendly & Freely: The disposable face mask is made of skin-friendly and breathable materials which is as soft as intimate clothing, light and breathable,keep you breathable and comfortable at all time. Breathable & Soft & Comfortable: The 4-LayerNon-Woven face mask has 4 layers, which can not only block the splashing liquid in the air and the particles in the air, but also smoothly exhaust the hot air by breathing . 3D Flexible Mask Design -Plasticity nose clip, and easy to adjust the camber. Everyone' can adjust the size by pulling the face mask to fit the face closely. Suitable for all face shapes,breathe smoothly without resistance. Widely Applicable: The safety mask is convenient to carry and wear, not only suitable for party, gathering, parade, travel, meeting, shopping,but also can be applied in outdoor, home, office, school, supermarket, park and etc.","adult, ",various,non-woven melt-spray,,unisex,disposable,,0
199,199,/100-PCS-Disposable-Face-Mask/dp/B08GPSBG71/ref=sr_1_149?keywords=face+mask&qid=1618898600&s=hpc&sr=1-149,100 PCS Disposable Face Mask - Adult Unisex Dust Mask Women and Men Safety Facial Mouth Covers B3,,4.6 out of 5 stars,"2,239 ratings",Only 11 left in stock - order soon.," More safe & convenient: There are 100 PCS（ Blue 20pcs/ Black 20pcs/ Gary 20pcs/Wihte 20pcs/ Pink 20pcs）disposable face masks in a box can stem the face covers from getting dirty during transportation, so it's more safe convenient for you to carry. everyone must know,it should be disposed of after each use Skin-friendly & freely: The disposable face mask is made of skin-friendly and breathable materials which is as soft as intimate clothing, light and breathable,keep you breathable and comfortable at all time. Breathable & soft & comfortable: These face masks are made of non-woven fabric and melt-blown fabric, which can not only block the splashing liquid in the air and the particles in the air, but also smoothly exhaust the hot air by breathing . 3D Flexible mask design :Plasticity nose clip, and easy to adjust the camber. Everyone' can adjust the size by pulling the face mask to fit the face closely. Suitable for all face shapes,breathe smoothly without resistance. Widely applicable: The safety mask is convenient to carry and wear, not only suitable for party, gathering, parade, travel, meeting, shopping,but also can be applied in outdoor, home, office, school, supermarket, park and etc.","adult, ",various,non-woven melt-spray,,unisex,disposable,,0
395,395,/Lagostina-Disposable-Breathable-Comfortable-Elastic/dp/B08MKYK64D/ref=sr_1_283?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-283,"Lagostina 50pcs Adults Disposable Face Masks for Men Women, 3 Layers of Breathable and Comfortable Elastic Ear Loop Facial Masks for School Office Factory(White)",,4.7 out of 5 stars,106 ratings,In Stock.," ✅50 Pack Face Masks: 50 Pack Disposable Face Mask 3-ply With Elastic Earloops. It is suitable for for school, office, supermarket, factories, and other public places. ✅3 Ply Disposable Face Masks: The disposable face mask is made from a 3-layered fabric. ✅Adults Face Masks: These disposable face masks are suitable for adults men, women, the elderly and teenager, Size can be adjusted to meet most people. ✅Masks: Disposable face mask with a 3D efficient elastic ear loop design, the length can be adjusted according to the face. It does not hurt your ears for a long time wearing and it's not easy to break. ✅Mouth Mask: Easy to use--Keep the blue-side outside & nose clip on the upper side.","adult, ",various,,3-ply,unisex,disposable,elastic,0
394,394,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg12_1?ie=UTF8&adId=A09359853LCFF43K1ZZTD&url=%2F100PCS-disposable-shield-filter-protection%2Fdp%2FB08C7HDF1F%2Fref%3Dsr_1_282_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899031%26s%3Dhpc%26sr%3D1-282-spons%26psc%3D1&qualifier=1618899031&id=3520467376087010&widgetName=sp_mtf,100PCS 3 ply black disposable face mask filter protection face masks,,4.7 out of 5 stars,"21,505 ratings",In Stock.," 1.3 Layers face mask -It's made of 3 layers of high-quality non-woven fabric; it has a stronger filtering effect and is more warm and breathable. 2.Unique Designed Masks - Comfortable elastic earloop, extra-soft ear loops eliminate pressure to the ears. Inner layer is made of soft facial tissue, no dye, gentle to the skin. 3.Made of environmental friendly material,Great choices for you or your family.Take care of yourself and hope all of trouble will be end as soon as possible.Good luck to everyone and hope all is well. 4.Black disposable face mask which great for painting, construction, building site, nail salons,fog and haze weather,gray sky,dust weather, snow weather and more 5.High quality face masks,package include 100PCS,please confirm carefully when placing an order",universal,various,non-woven melt-spray,3 ply,unisex,disposable,elastic,0
200,200,/dp/B08GPSYVPN/ref=sr_1_149?keywords=face+mask&qid=1618898600&s=hpc&sr=1-149,100 PCS Disposable Face Mask - Adult Unisex Dust Mask Women and Men Safety Facial Mouth Covers B10,,4.6 out of 5 stars,"2,239 ratings","In stock on April 25, 2021."," More safe & convenient: There are 100 PCS（ Blue 50pcs/ Pink 50pcs）disposable face masks in a box can stem the face covers from getting dirty during transportation, so it's more safe convenient for you to carry. everyone must know,it should be disposed of after each use Skin-friendly & freely: The disposable face mask is made of skin-friendly and breathable materials which is as soft as intimate clothing, light and breathable,keep you breathable and comfortable at all time. Breathable & soft & comfortable: These face masks are made of non-woven fabric and melt-blown fabric, which can not only block the splashing liquid in the air and the particles in the air, but also smoothly exhaust the hot air by breathing . 3D Flexible mask design : Plasticity nose clip, and easy to adjust the camber. Everyone' can adjust the size by pulling the face mask to fit the face closely. Suitable for all face shapes,breathe smoothly without resistance. Widely applicable: The safety mask is convenient to carry and wear, not only suitable for party, gathering, parade, travel, meeting, shopping,but also can be applied in outdoor, home, office, school, supermarket, park and etc.","adult, ",various,non-woven melt-spray,,unisex,disposable,,0
391,391,/Celavi-Collagen-Skincare-Moisturize-Pigmentation/dp/B08PDVZPCX/ref=sr_1_279?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-279,Celavi Collagen Facial Face Mask Classic Korean Skincare | Moisturize Skin | Balance Pigmentation Assorted,,4.6 out of 5 stars,"11,938 ratings",In Stock.," Moisturizing Hydration – Infused with natural botanical ingredients like tea tree, cucumber, honey, charcoal, and avocado, it’s gentle on dry, oily, or sensitive skin. Revitalizing Skin Therapy – A deeply-hydrating experience, our face mask sheets infuse your skin with vital moisture while helping improve overall tone and firmness. In 15 minutes you can have quick results targeting skin issues like tone, hydration, firmness and clarity.",universal,red,,,unisex,,,0
202,202,/Disposable-Masks-50pcs-Elastic-Earloop/dp/B089VP4CPJ/ref=sr_1_150?dchild=1&keywords=face+mask&qid=1618898600&s=hpc&sr=1-150,"50pcs Disposable Face Masks, Breathable 3-Ply Non-Woven Masks(Blue, White, Pink, Black, Purple, Fashion Lace Pattern)",,4.4 out of 5 stars,269 ratings,In Stock.," Breathable Three-Layer Masks: The uniformly distributed pores on the surface of our face mask can not only block the liquid splash in the air and filter the particles in the air, but also absorb the exhaled hot air, thus keeping the skin dry and comfortable Soft Elastic Earloops: Due to its ultra-soft elastic earloop design, the disposable mouth cover mask helps to eliminate pressure on the ears, thereby obtaining maximum comfort. With strong elasticity and toughness, the earloops of the masks are not easy to break Wrap-around Mask Design: These face masks fit faces of most shapes and sizes. The top seam of the mask has an adjustable nose bridge fixing strip, which can be molded to offer a better fit and completely avoid liquid and dust inhalation from both sides of the nose Skin-friendly Materials: These 3-layer travel face masks are made of non-woven fabric which is non-irritating, soft and comfortable, suitable for the face, keeping you free of pressure Widely Applicapable and Disposable: The disposable face masks are perfect to use in crowded airports, bus terminals, classes and haircuts. Our face masks are disposable and are only for one-time use",universal,various,non-woven melt-spray,3-ply,unisex,disposable,elastic,0
203,203,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_hpc_sr_pg6_1?ie=UTF8&adId=A00513201CYL2HPUKFXOP&url=%2FKN95-Vibeey-Individually-Efficiency%25E2%2589%25A595-Included%2Fdp%2FB08MTRHP18%2Fref%3Dsr_1_151_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898600%26s%3Dhpc%26sr%3D1-151-spons%26psc%3D1&qualifier=1618898600&id=3170375817053860&widgetName=sp_btf,"KN95 Face Mask 60 Pcs, Vibeey Individually Wrapped Cup Mask, 5-Ply Layer Filter Efficiency≥95%, Included on FDA EUA List (Black)",,4.7 out of 5 stars,"3,316 ratings",In Stock.," 【Safe to Use】: Vibeey KN95 face mask black is completed with FDA standards. Can be used with confidence. Safe material is skin-friendly and softer that give you the comfortable usage experience at the same time it protects your breath with high filter efficiency. 【Provide Multi-effect Protection】: Our mask KN95 is made of high breathability 2 non-woven outer layers, 2 melt-blown inner filter, 1 non-woven cotton middle layer. The filter efficiency ≥ 95%, greatly keeping you from dust, PM 2.5, haze, smoke, automobile exhaust, etc. 【Better Design】The 3D shape of KN95 cup dust mask is designed according to the human face shape to ensure the tightness. Equipped with an adjustable soft padded nose bridge and elastic ear hooks to prevent leaving marks on your face after taking it off. 【Easy & Comfortable】: Lightweight and foldable, the 60 piece individually packaged design makes these masks easy to carry and to use. 【Upgraded Warranty】: Applicable to all public places such as home, school, indoor and outdoor. Disclaimer: This KN95 mask is NOT an N95 mask. For more information about KN95 masks please see the following before you purchase: amazon.com/AboutKN95s.",universal,black,non-woven melt-spray,kn95,unisex,,elastic,0
