,Unnamed: 0,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop,score
421,421,/Adjustable-Reusable-Washable-Filter-Pocket/dp/B08FZ2W88F/ref=sr_1_301?dchild=1&keywords=face+mask&qid=1618899098&s=hpc&sr=1-301,Cloth Face Mask Washable Face Mask with Nose Wire | 3 Layer Comfortable 100% Cotton and Adjustable Adult Masks (2 Pack),,4.4 out of 5 stars,975 ratings,In Stock.," ✔️ PREMIUM QUALITY: A 3-D comfortable lightweight reusable face mask for adults and large teens. 100% BCI OEKO-TEX certified cotton, PPE gauze triple layer facemask is treated with DuPont Silvadur Technology for fabric sustainability and airborne pollutants particle control. ✔️ EXCEPTIONAL FEATURES IN ONE MASK: Reuseable face masks are optimized with sturdy nose bridge wire to reduce fogging for glasses wearers. adjustable elastic ear loops to avoid sliding off and gives full chin coverage. Engineered to provide an optional filter pocket for extra protection in a crowded and extreme polluted area. ✔️ HIGH PROTECTION PERFORMANCE: Safety nano 3 ply men face mask is treated with silvadur technology to reduce odors from sweat and preserve fabric sustainability. Ideal gym workout masks are machine washable and reusable, it remains high performance after 30+ washes. ✔️ULTIMATE USAGE: Stand out from the crowd with engineered designer cloth facemask: Fashion masks, blank, solid colors or floral patterns are available. Premium quality travel mask material that can provide a comfortable protective layer suitable for cycling, camping, running, traveling, climbing and daily use. ✔️100% CUSTOMER SATISFACTION: Adult size fits most large teens and adults. Wear cloth face coverings in public settings and wash after each use of face mask pack. We care for our customers' satisfaction, each mask is individually packed and responsibly made.","large, adult, ",various,cotton,filter pocket,mens,reusable,elastic,7
609,609,/HONYAO-Face_Mask-Washable-Adjustable-Face_Masks/dp/B089Y65RCK/ref=sr_1_440?dchild=1&keywords=face+mask&qid=1618899497&s=hpc&sr=1-440,"HONYAO Cloth Face_Mask Pure Cotton Face_Mask with Filter Pocket and Nose Wire, Adjustable Ear Loops,3 Layers (4 Pcs)",$13.59 ,4.5 out of 5 stars,"3,145 ratings",In Stock.," 100% Cotton 💨High-quality materials: These 3 layers covers are made from high quality material.The inner side is designed to store filters, and the blocking effect is particularly excellent. It is very comfortable to wear and very good-looking for ladies, and it is also very good with clothing. 💨Broad applicability: 8.26 * 4.72 inches (Large),this size fits most adults with normal face.This face covering will protect you from outdoor, cold, ash, fog, haze, vehicle exhaust, passive smoking and so on. 💨Convenience and hygiene: Washable and reusable, light weight, easy to carry around, durable and practical for your daily use.A product covering the entire face can effectively prevent sunburn. The covers is very thin and comfortable, cleans the air while protecting from UV rays. 💨Comfortable fabric: Three layers of fabric helps create a comfortable barrier for nose and mouth.It has an adjustable nose clip and elastic earloop, you can wear it for a long time.It can be adjusted according to your face to make it fit better. 💨Package includes: Four different colors can be matched with various fashion clothes. Valentine's Day is approaching, it is the best gift for female friends. For a variety of locations, such as commuting, schooling, cleaning, gardening, hiking and outdoor activities.","large, adult, ",,cotton,filter pocket,womens,reusable,adjustable,7
556,556,/DALIX-Cloth-Reusable-Washable-Assorted/dp/B08GBYPZBF/ref=sr_1_403?dchild=1&keywords=face+mask&qid=1618899365&s=hpc&sr=1-403,DALIX Cloth Face Mask Reusable Washable Made in USA Dark Assorted L-XL (3 Pack),,4.5 out of 5 stars,90 ratings,In Stock.," 100% Cotton Made in USA Breathable and Soft Reuseable and Washable Fits Large and Extra Large Faces, Adjustable Ear Loops Comes in a Pack of 3 Qty - 1 Black , 1 Navy Blue , and 1 Charcoal Gray - Face Masks * This product has not been FDA-cleared or approved *","large, ",various,cotton,,unisex,reusable,adjustable,7
550,550,/Copper-Infused-Filter-Protection-Adjustable/dp/B08SQRPX8C/ref=sr_1_397?dchild=1&keywords=face+mask&qid=1618899365&s=hpc&sr=1-397,"Copper Infused Face Mask With Extra Filter Pocket Protection Layer, Adjustable Ear Loops & Nose Wire - Reusable, Washable, 3D Fit for Men and Women (2-Pack, Black, Large)",,4.6 out of 5 stars,14 ratings,Only 4 left in stock - order soon.," Copper Infused Fabric Adjustable closure COPPER HIGH TECH TECHNOLOGY - 100% High Quality Copper Ion Infused into the fabric EXTRA FILTER POCKET - Double your protection level by adding a 2.5 PM filter inside the inner pocket (sold separately) ALL THE BEST FEATURES IN 1 MASK - 3D face structure with inner cool air flow for easy breathing, nose bridge & chin support for Secure Fit, adjustable ear loops, 100% cotton cloth for smooth, Durable and lightweight feeling SAFER FOR LONGER - Reusable, Washable, Sustainable CDC RECOMMENDATION : Take care of yourself and your loved ones! Wear a Mask!","large, ",black,cotton,filter pocket,unisex,reusable,adjustable,7
641,641,/Reusable-3-Ply-Cloth-Face-Mask/dp/B08THJV9H2/ref=sr_1_464?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-464,"Reusable 3-Ply Cloth Face Mask - Washable Breathable Comfortable Fabric Mask with Nose Wire and Filter Pocket, Adjustable Ear Loops (Black, Large for Adults)",,4.5 out of 5 stars,38 ratings,In Stock.," SOLVED ALL INCONVENIENCES - Durability, Size to fit adult face, Using High-quality 3-Ply fabrics, Nose wire clip, Pocket for Filters, Adjustable length of ear loops, Elastic ear loops, Clean packaging. LONG-LASTING PREMIUM MASK - Our face mask that is designed with Rust-Proof Nose wire, 3-Ply High-Quality Durable fabrics for maximum comfort can be used for a long time. FITS ON YOUR FACE - Our face mask has a Nose wire clip for anti-fogging on the glasses, Silicone stopper for adjustable ear loop length. You can adjust them to fit your face. MADE WITH QUALITY MATERIALS - Special coated copper nose wire clip will not rust even after several washing. Elastic ear loops maintain a comfortable fit even if worn for a long time. The silicone ear loop stopper is soft and integrated with the ear loop. so you won't lose it. BREATHABLE DESIGNED FOR EVERYDAY USE - It can be worn in everyday life such as indoor/outdoor. It is designed with a Breathable three-dimensional design, so you can breathe comfortably.","large, adult, ",black,,filter pocket,unisex,reusable,adjustable,6
516,516,/Washable-Reusable-Face-Masks-Protections/dp/B08Z1ZF65D/ref=sr_1_371?dchild=1&keywords=face+mask&qid=1618899298&s=hpc&sr=1-371,"WITH U Washable Reusable Face Masks - 3-Layer Protections, Adjustable Ear Loops, Designer Prints - Made in USA",,5.0 out of 5 stars,13 ratings,In Stock.," Made in the USA Machine Wash HALF INCH LARGER SURFACE: Larger half-inch makes a huge difference. The mask surface, which is half an inch larger, improves wearability and makes breathing more comfortable. DURABILITY: Strong durability is the key to long-standing mask reuse. The WITH U mask has durability to overcome washing and drying several times through a stress test. PREMIUM FABRIC: WITH U Face Mask is a Three-Layer Design – Outer layer High-End Polyester Fabric, Dual Inner Layer High thread-count Cotton Blend (Made in USA) – High-quality, lightweight fabric on the skin provides maximum comfort. The adjustable ear loop is comfortable and safe to wear. SIZING: Standard size for men and women with adjustable ear loops / 7"" (L) x 5.5"" (H), Ear Straps: 3"" / Non-Medical Mask CARE INSTRUCTION: Launder recommended before first use. Hand wash cold. Do not bleach. Do not iron. Hang dry.","large, ",,mixed material,,unisex,reusable,adjustable,6
131,131,/Reusable-Adjustable-Protective-Protector-Black-5Pcs/dp/B08B4VKY82/ref=sr_1_101?dchild=1&keywords=face+mask&qid=1618898461&s=hpc&sr=1-101,Reusable Cotton Adjustable Adult Protective Face Protector,,4.2 out of 5 stars,"4,433 ratings",In Stock.," Reusable: Washable and reusable protective barrier, no need to disassemble. Suitable for adults with larger faces. Safety and protection:5 pack , effectively protect you against dusts, allergens, fog haze, splattering liquids or mists, anti-odor. Also perfect daily wear in allergy season Wide Application: Ideal for both women and men, suitable for cycling, camping, running, travel, climbing and daily use. Protect you from fog, vehicle exhaust etc. Elastic adujustable ear loop to secure the face protector in place and customized face-fit for most adults. Perfect cover the nose to the chin in all day comfort, also keep look stylish Prompt : Our products are shipped from Amazon, if you have any questions during use, please feel free to contact us, we will reply you within 24 hours.","large, adult, ",,cotton,,unisex,reusable,elastic,6
227,227,/Maxboost-Fabric-Face-Mask-Reusable/dp/B089QZ989W/ref=sr_1_164?dchild=1&keywords=face+mask&qid=1618898676&s=hpc&sr=1-164,"Maxboost Fabric Face Mask - Pack of 3 (X-Large Size) 2 Layer, Reusable, Washable Summer Mask Cover - Black",,4.3 out of 5 stars,"11,803 ratings",In Stock.," Designed For All Season - Made from Standard_100 by OEKO-TEX certified fabric (often found within baby apparel), the mask provides a comfortable fit that conforms to the face for an ultra-soft wearing experience. Facilitates simple breathing for long work hours and shifts, daily walks and exercise, and more. 2-Layered Filter - 2 unique layers of soft worn fabric for a real reliable protective mask that will adhere to outdoor mask guidelines. Help decrease the risk of inhaling dust, dirt, and so much more during daily activities. (Note: the fabric layers are made of polyester and elastane.) 3D Design & Nose Wire - A 3D curved design with center stitching leaves sufficient space between the mouth and mask for easy breathing. Users will not “eat” the mask while talking. A unique nose bridge wire offers a snug and secure fit across the bridge of the nose which helps decrease “slipping”. Fits & Adjustable - One size for all. Designed as a universal and unisize fit. Just wrap the adjustable ear loops around both ears for a snug and secure feel. All masks conform comfortably around the facial area for a supportive and protective overall fit. Reusable masks - The included 3 masks can be washed in warm water and used on daily basis.","universal, large, x-large, ",various,polyester,,unisex,reusable,adjustable,6
91,91,/Craft-Soul-Reusable-Washable-Comfortable/dp/B08BDG1H4R/ref=sr_1_69?dchild=1&keywords=face+mask&qid=1618898393&s=hpc&sr=1-69,(5 Pack Pieces per Box) Craft & Soul Mattana Face Mask Cover Reusable Washable Comfortable Fabric Cloth,$11.90 ,4.3 out of 5 stars,"9,911 ratings",In Stock.," General Use - This is a general purpose face mask. Not intended for medical use. Each box contains 5 pieces. Made In Vietnam. Quality Construction - The quality fabric, stitching, ear straps, and fit are designed for comfort and durability. Made by the same skilled apparel workers that make Craft & Soul Men's Clothing. Craft & Soul is a U.S. based brand with manufacturing in Vietnam. Craft & Soul is available exclusively on Amazon. Comfortable - Made of high quality 2-Ply 35% Cotton/65% Poly blend knitted fabric. Soft texture and comfortable stretchable fabric that fits closely along the face. Breathable two layer design won't fog glasses. Washable & Reusable - Easy to care for and can be used repeatedly. One size which fits most men and women comfortably with excellent close fit. CDC recommends wearing cloth face coverings in public settings and washing after each use. You can wash and dry with your regular laundry.",universal,,cotton,2-ply,unisex,reusable,elastic,5
219,219,/New-Republic-Washable-Reusable-Regular/dp/B0876HQ55Q/ref=sr_1_156?dchild=1&keywords=face+mask&qid=1618898676&s=hpc&sr=1-156,New Republic Made in USA White - 3 Pack Face Masks | Washable and Reusable | 2-Ply 100% Cotton Facemask,,4.1 out of 5 stars,"25,863 ratings",In Stock.," SIZE: One size fits most. W: 6.25"" H: 4.25"" FABRIC: 100% 2 ply cotton CARE: Wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. ORIGIN: Los Angeles, California","one size fits most, ",,cotton,2-ply,unisex,reusable,,5
358,358,/TETHYS-Fabric-Face-Black-Filter/dp/B089QZMDSR/ref=sr_1_254?dchild=1&keywords=face+mask&qid=1618898965&s=hpc&sr=1-254,"TETHYS Reusable Face Mask, Breathable Comfort Cloth Fabric Mask 2-ply Layer, Machine Washable 3D Design Nose Wire Adjustable Earloop Summer Face Masks, 3 Pack (Unisize, M/L)",,4.3 out of 5 stars,132 ratings,In Stock.," Designed For Year-Round Wearing - Crafted using STANDARD 100 fabric by OEKO-TEX certified fabric (found inside baby apparel), it is designed for all seasonal wearing and provides an overall comfortable fit that shapes around the face for a super-soft feel. Built for longer work hours and shifts, daily exercise, etc. 2-Layer Filter - 2 layers of soft and smooth fabric for a durable and reliable protective mask that provides extra support when worn in/outdoors. Help prevent inhaling dust, debris, and more during day-to-day errands and activities. **Note: Fabric layers are made of polyester & elastane. 3D Shape & Nose Wire - Advanced and world-class 3D curved design with centered stitching provides an ample amount of space to facilitate easier breathability. A built-in nose wire ensures a tight and snug fitted feel that gently wraps across the bridge of the nose to eliminate “slipping”. Perfect Fit & Adjustable Build - One Size fits all! Designed for a perfect and universal fit. Simply wrap the adjustable ear loops easily behind both ears for a snug, fitted, and comfortable fit. Each mask will conform across the contours of the face for a fit that encourages protection. Reuse & Rewash - Comes in a multi-mask pack of 3 masks which are all machine washable and reusable. Plenty for you, family and friends with the ability to be rewashed and reused to encourage the longevity of the masks.","universal, ",red,polyester,2-ply,unisex,reusable,adjustable,5
356,356,/Comfortable-Breathing-Lipstick-Washable-Reusable/dp/B08HT2PL9H/ref=sr_1_252?dchild=1&keywords=face+mask&qid=1618898965&s=hpc&sr=1-252,Face Mask Bracket (10Pcs) 3D Mask Bracket More Space for Comfortable Breathing Protect Lipstick Washable Reusable (Large),,4.2 out of 5 stars,"4,290 ratings",In Stock.," 【Masks Bracket Protection】 3D Mask Bracket can support the inside of the mask, which can effectively expand the breathing space and keep breathing smooth. 【Unique Bracket Design】 Designed for the golden triangle of the mouth, nose and chin, creating more space for breathing. The soft plastic material, washable and reusable. 【Powerful Functions】 This face mask bracket can protect the mask, increase its use frequency, and avoid changing makeup due to wearing a mask. It is especially suitable for people who wear glasses. It can avoid the fogging of the mirror surface due to wearing a mask and affect the sight. 【Size Mask Support】 About 3.9*3.3*1.6 inch/ 10*8.3*4cm , Suitable for various face masks,reduce the frequency of friction between the mask and face. 【Quality Assurance】 If you have any questions about product quality, please feel free to contact us and we will solve it for you in time. Reminder: If the bracket slips off during use, you can use double-sided tape to fix it on the mask.","large, ",red,,,unisex,reusable,,5
379,379,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_hpc_sr_pg12_1?ie=UTF8&adId=A032483111SUCBMX91O0M&url=%2F6-Pack-Unisex-Cotton-Adjustable-Loops-Replacement-Filters%2Fdp%2FB08N5BXF6J%2Fref%3Dsr_1_267_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899031%26s%3Dhpc%26sr%3D1-267-spons%26psc%3D1&qualifier=1618899031&id=3520467376087010&widgetName=sp_atf_next,6-Pack-Unisex Cotton Cloth Fabric with Adjustable Ear Loops-Replacement Filters,,4.5 out of 5 stars,659 ratings,In Stock.," ✔️PREMIUM MATERIAL:100% Cotton,Very Comfortable And Easy To Wear, Perfectly Covers Your Nose, Mouth,very effortless breathable to wear. ✔️It has adjustable elastic ear loops and M-shaped nose clip ( Adjustable )and it won't induce discomfort. ✔️MACHINE WASHABLE:6 pack of reusable comfortable With 6 Replacement Filters,each one has two layers of lightweight, breathable cotton fabric. ✔️Breathable Fabric: The cloth are designed for extensive wear. breathable is very durable, which them a lot more comfortable for everyday use. ✔️Wide Application: Ideal for both women and men, suitable for cycling, camping, running,travel,climbing and daily use.Protect you from fog,vehicle exhaust,etc. Bullet Point,Great gift: This can be a good choice as gift for your family, friends, lovers for birthday.",universal,,cotton,,unisex,reusable,adjustable,5
520,520,/Xchime-Protective-Reusable-Adjustable-Pattern3/dp/B08NG7BCXP/ref=sr_1_375?dchild=1&keywords=face+mask&qid=1618899298&s=hpc&sr=1-375,"Xchime Protective Cover Reusable,Adjustable Ear Loops Nose Wire Filter Pocket,5-Pack (Adults, Pattern3)",,4.6 out of 5 stars,"1,485 ratings",In Stock., 👍4-layer structure: 3-layer premium cotton + 1 filtration cloth for excellent filtration and ease of breathing; layers are soft and comfortable 👍3D design: the extra triangle chin holder at the bottom cups the chin and prevents it from shifting around 👍 Adjustable ear loops and nose wire for a snug fit and enhanced security 👍Filter pocket ready so that you can insert filter for extra protection 👍 Ships from the USA: arrives in 3-5 days and faster than the estimated time,"adult, ",,cotton,filter pocket,unisex,reusable,adjustable,5
640,640,/3M-Reusable-Washable-Adjustable-Lightweight/dp/B08LB9BLTJ/ref=sr_1_463?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-463,"3M Daily Face Mask, Reusable, Washable, Adjustable Ear Loops, Lightweight Cotton Fabric, 10 Pack, Gray",,3.9 out of 5 stars,"2,078 ratings",In Stock.," Two layers of lightweight cotton fabric for breathability and comfort Adjustable, soft elastic ear loops allow for maximum comfort Bendable nose piece allows you to adjust mask to rest snugly against nose and face Nose clip and ear loops allow you to adjust mask to rest snugly against the nose and face to reduce fogging Washable and reusable Ideal for everyday use, both indoors and out Great for travel, public transportation, shopping and office settings",universal,various,cotton,,unisex,reusable,adjustable,5
389,389,/Reusable-Washable-Adjustable-Earloops-Breathable/dp/B08Y5F615X/ref=sr_1_277?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-277,"Cloth Face Madks for Women with 10 filters, Reusable and Washable Face Madk with Adjustable Earloops, Breathable and Your Glasses won't Fog up, Madk with Built-in Nose Line and Filter Pocket(5 Pack)",,4.0 out of 5 stars,10 ratings,In Stock.," 【Fashionable printed mask】The unique madk design makes your madk unique, with a variety of patterns for you to choose from, the USA madks, printed flowers, bohemian patterns, and trendy personality; Using environmentally friendly printing and dyeing technology, the madk is bright and bright Do not fade. 【Washable & reusable】Our face madk is made of high-quality fabric, which is washable, does not deform, and will not lose its function due to multiple washings. It can be reused after washing and drying, which is environmentally friendly and safe; 3-layer protection with 2.5PM high-efficiency filtration for a whole day to protect your health. 【Breathable and comfortable】The lightweight madk is woven with high-quality cotton fiber, breathable and dry, and will not be stuffy. The meticulous craftsmanship fits the facial curve better, has good adhesion, and further protects the human body; The ear straps have high elastic contraction, not tighten the ears; It can be used for shopping, shopping, running, climbing, etc. 【Easy to wear】The simple and unique design has the advantages of stable fit and non-slip. There is a nose bridge in the madk to prevent dust from entering, and at the same time prevent your glasses from fogging. There is also a filter bag inside the madk. You can add 2.5PM filter. The filter fits most adult madks with filter slots. 【Quality Service & 10 Filters】If you are not satisfied with our products, please feel free to contact us, we will give you a perfect shopping experience; our products include: 5 * madks, 10 * filters.","adult, ",,cotton,filter pocket,womens,reusable,adjustable,5
112,112,/DEGREES-Reusable-Unisex-Comfort-Covering/dp/B08D6WQBMJ/ref=sr_1_82?dchild=1&keywords=face+mask&qid=1618898461&s=hpc&sr=1-82,"32 DEGREES Cool 3 Pack Reusable Unisex Adult Comfort Face Covering Mask, Large",,4.6 out of 5 stars,"2,760 ratings",In Stock.," PACK OF 3: Includes 2 black & 1 grey mask inside a sealed tamper-proof pouch. Available in size Medium and Large, please check below size chart for measurements. LIGHTWEIGHT BREATHABLE COMFORT: This fabric is made from ultra-fine yarns knitted into a high-density performance fabric, creating a mask that is lightweight, breathable, and soft against the skin. Fabric is made from 85% Polyester & 15% Spandex utilizing special ATB-UV+ yarns which contain silver ions. SINGLE-PLY 3-LAYER CONSTRUCTION: This mask is made using a special knitted construction, which allows this single-ply thin piece of fabric to have a 3-layer structure, consisting of a top and bottom layer of high-density performance fabric, knitted together by a connecting layer of ultra-fine yarns. This creates a dense multi-layer structure in line with CDC recommendations. QUICK DRY: A uniquely designed fiber cross-section allows this mask to dry at more than double the rate of cotton fabrics. This allows exhaled moisture to evaporate much faster, reducing the hot and clammy feeling common to other masks, keeping you cooler and more comfortable. UV PROTECTION: Due to high-density construction, this mask is rated UPF 50+ blocking ultraviolet rays UV-A (290-320nm) and UV-B (320-400nm). STRETCH & FIT: As per CDC guidelines, a proper snug fit is one of the most important criteria for masks. By using a 15% spandex stretch fabric with a middle seam construction, this mask allows for a better fit and seal, which minimize the gaps where outside air can flow in.","large, medium, adult, ",various,mixed material,,unisex,reusable,elastic,5
591,591,/Slip-Pure-Silk-Covering-Black/dp/B08B46TF5G/ref=sr_1_430?dchild=1&keywords=face+mask&qid=1618899430&s=hpc&sr=1-430,"Slip Silk Double-Sided Silk Face Covering, Black (One Size) - Breathable and Reusable Silk Face Covering Made with Pure 22 Momme Mulberry Silk + Cotton Inner Lining - Adjustable Nose Wire + Earloops",,4.5 out of 5 stars,420 ratings,In Stock.," Reusable Face Covering - Premium silk face covering. Machine washable and re-usable. Double Sided Silk - Silk on both sides with a cotton inner layer and are designed to be gentle on your delicate facial skin (yes... the silk touches your face so it is super gentle to wear). Made with Slipsilk - The highest grade (6A) long fibre mulberry silk, with a thickness of 22 momme and enforce the strictest quality guidelines, including non-toxic dyes.* Adjustable, One Size Fits All - 100% mulberry silk outer, 100% cotton inner, adjustable nose wire, adjustable elastic ear loops. Includes spare nose wires x 10, and 2 x sets of silicone stoppers. Soft, Smooth Feel - Specially-commissioned and made to our exacting standards, slipsilk was developed and refined over ten years to provide the ultimate combination of shine, thickness, softness and durability.",universal,black,cotton,,unisex,reusable,adjustable,5
575,575,/Bandanas-Reusable-Washable-Adjustable-Replacement/dp/B08G4KHFH8/ref=sr_1_414?dchild=1&keywords=face+mask&qid=1618899430&s=hpc&sr=1-414,5 Pcs Adult Unisex Reusable Washable Adjustable Face Protection with Filter Pocket and Nose Wire Breathable Cotton Dust Cloth with 10Pcs Replacement Carbon Filters for Man and Women(Black),,4.5 out of 5 stars,"2,802 ratings",In Stock.," Package include: 10 Pcs filters with 5 Pcs Adjustable Washable Reusable Dust Cotton Cloth Adult Covers. WASHABLE and REUSABLE - Premium cotton and durable construction allows for machine wash. Keep your face cover clean and sanitary by washing in cold water and tumble dry. SOFT, STYLISH, and SAFE - The first thing you will notice about our premium quality face covering is the luxuriously soft, breathable cotton fabric. Elastic adjustable ear loop to secure the mouth cover in place and customized face-fit for most adults. Perfect cover the nose to the chin in all day comfort, also keep look stylish. FILTER INSERT SLOT - Insert a filter for additional protection against harmful airborne particles.The addition of a filter can help protect against pollution, smog, pollen, dust, sneezes, coughs and other harmful particles.","adult, ",black,cotton,filter pocket,unisex,reusable,adjustable,5
661,661,/Blue-Bear-Protection-Kids-Face/dp/B08KFSN14D/ref=sr_1_484?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-484,"Blue Bear Protection Kids Face Mask Set of 5 - Kids Masks Washable, Kid Face Mask Reusable, School Masks for Kids, Kids Face Masks Washable, Kids Masks Boys & Girls",,4.0 out of 5 stars,155 ratings,In Stock.," Maintains Shape, Wash After Wash: Smooth cotton + bright colors will make this child mask their favorite. Durability through multiple washes will make it yours. Kid-Approved x5, Comfortable, breathable, smooth cotton face mask for kids. With soft-stretch ear loops + smooth adjustment sliders, our student masks are loved by kids across the USA. Ages 5+, The perfect face masks for kids are comfy + breathable, and never tug or dig into ears. Need a mask for school? This kids school mask set contains 5 masks they’ll love. Money-Back Guarantee, At Blue Bear we stand by our products with a 100% Satisfaction Guarantee. We offer a 30-Day Money-Back Guarantee on any children face mask product or other item purchased from Blue Bear Protection. Contact us directly through Amazon messaging and we will be happy to assist you however we can. 100% customer safety and satisfaction is our priority.",childrens,blue,cotton,,unisex,reusable,elastic,5
241,241,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_hpc_sr_pg8_1?ie=UTF8&adId=A032483111SUCBMX91O0M&url=%2F6-Pack-Unisex-Cotton-Adjustable-Loops-Replacement-Filters%2Fdp%2FB08N5BXF6J%2Fref%3Dsr_1_170_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898749%26s%3Dhpc%26sr%3D1-170-spons%26psc%3D1&qualifier=1618898749&id=4938687637689195&widgetName=sp_atf_next,6-Pack-Unisex Cotton Cloth Fabric with Adjustable Ear Loops-Replacement Filters,,4.5 out of 5 stars,659 ratings,In Stock.," ✔️PREMIUM MATERIAL:100% Cotton,Very Comfortable And Easy To Wear, Perfectly Covers Your Nose, Mouth,very effortless breathable to wear. ✔️It has adjustable elastic ear loops and M-shaped nose clip ( Adjustable )and it won't induce discomfort. ✔️MACHINE WASHABLE:6 pack of reusable comfortable With 6 Replacement Filters,each one has two layers of lightweight, breathable cotton fabric. ✔️Breathable Fabric: The cloth are designed for extensive wear. breathable is very durable, which them a lot more comfortable for everyday use. ✔️Wide Application: Ideal for both women and men, suitable for cycling, camping, running,travel,climbing and daily use.Protect you from fog,vehicle exhaust,etc. Bullet Point,Great gift: This can be a good choice as gift for your family, friends, lovers for birthday.",universal,,cotton,,unisex,reusable,adjustable,5
660,660,/Little-Chicks-Adjustable-3-Layer-Reusable/dp/B08HK7Q5DD/ref=sr_1_483?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-483,"Little Chicks Youth Kids 3-Layer Face Mask - Adjustable Ear Loop, Washable & Reusable, with Bendable Nose Grip - 2 Pack - (Child Age 6-12)- Model CK108",,4.6 out of 5 stars,105 ratings,In Stock., KIDS SIZE - Specifically designed for kids ages 6-12 years old. Mask size is 6.1 x 3.5 inches 100% COTTON FABRIC - Comfortable yet breathable 3-layer cotton mask ADJUSTABLE EAR LOOPS - Help ensure a snug but comfortable fit using the adjustable ear loops with safety bead to help ensure they stay tied NOSE GRIP - Bendable nose grip helps fit the mask to your child's unique face shape and size WASH AND REUSE - Little Chicks masks are washable so they can be reused over and over again while retaining their soft feel and vibrant colors.,childrens,,cotton,,unisex,reusable,adjustable,5
570,570,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_hpc_sr_pg17_1?ie=UTF8&adId=A06751013ND9KVU91ONH2&url=%2FRTENNB-Reusable-Balaclavas-Adjustable-Earloops%2Fdp%2FB08NTNQQCZ%2Fref%3Dsr_1_417_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899365%26s%3Dhpc%26sr%3D1-417-spons%26psc%3D1&qualifier=1618899365&id=206188178363748&widgetName=sp_btf,"RTENNB Fashion Rainbow Bears Dancing Reusable Mouth and Nose Face Cover Anti Dust Print Balaclavas with Adjustable Earloops, Colorful Bear, One Size",,4.8 out of 5 stars,78 ratings,In Stock.," Elastic closure ❤【NOT A ONE-OFF】Face Mouth Mask is Made of Polyester Fiber, Breathability Comfortable,washable, Reusable, Easy to Care for Durability. ❤【HUMANIZATION DESIGN】Dust Masks Ergonomic Cut on Nose and Adjustable Elastic is Enough for Cover Nose, Mouth and Face,protecting You from Inhaling Particles and Substances. Very Comfort to Wear and Effortless Breathable. ❤【FEATURE】7.9""L×5.9""W(20cm x 15cm), Easy to Wear. The Mask's Strap Has a Button That Adjusts the Tightness. ( Elastic Cords Can Be Dangerous for Children, So Be Sure to Stay Away from Children and Not Let Children Play. ) ❤【OCCASION】Fog and Haze Protective Masks, Which Can Be Used to Protect Our Respiratory Tract from Any Occasion, Any Season, to Protect Our Facial Skin from Dust Particles. You Can Use the Mouth Mask in Any Occasions, Like Cycling, Camping, Hiking, Gardening, Tourism, Outdoor, Shopping, Etc. ❤【SERVICES】Stylish and Personalized Print Design, We Are Committed to Make It Right for You. If You Have Any Question ,contact Us with the Concern and We Will Find out a Solution for It.",childrens,colorful,polyester,,unisex,reusable,adjustable,4
105,105,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_hpc_sr_pg4_1?ie=UTF8&adId=A02777012V1SGBIVLUZ7D&url=%2FPokemon-Pikachu-Anime-Face-Girls%2Fdp%2FB08SQZL8QC%2Fref%3Dsr_1_75_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898461%26s%3Dhpc%26sr%3D1-75-spons%26psc%3D1&qualifier=1618898461&id=7995795376940918&widgetName=sp_atf_next,Pokemon Pikachui Anime Neck Gaiter Gift for Pokémon Fans Adjustable Bandana Balacalava,,4.7 out of 5 stars,113 ratings,In Stock.," 100% Cotton Imported Adjustable closure Hand Wash Only Designed by our own team, Aiming at the patterns that boys and girls love it's a good gift for children. If your child still doesn't like wearing masks, you can try to ask them if they like these beautifully designed masks. It is recommended to wear the most suitable for people over ten years old.",childrens,,cotton,,unisex,reusable,,4
