,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop
106,/Disposable-Protective-Breathable-Earloops%EF%BC%8C-Melt-Blown/dp/B088NQTWLG/ref=sr_1_76?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-76,"Disposable Protective Face Mask, Breathable 3 Ply Masks with Earloops，with Melt-Blown Cloth (Blue 50pcs)",$8.41 ,4.6 out of 5 stars,"1,464 ratings",In Stock.," 67% non-woven fabric, 33% melt-blown fabric These masks are made of Melt-blown fabric and Non-woven fabric which are proven to filter more effectively. All masks are made with hypoallergenic materials to provide a comfortable feel for those with sensitive skin. 50 pieces per box, Blue, Single use only, It’s for adult only. It's applicable in filtering the particulate matter in the air pollution and environmental problem in daily life. And it's for non-medical use. These mask is vacuum pack ,there is a ziplock pack outside the vacuum pack. you could put them inside a ziplock bag to keep them clean until ready to use.","adult, ",blue,non-woven melt-spray,3 ply,mens,disposable,NA
107,/Disposable-Face-Masks-Breathable-Comfortable/dp/B084TQKLCC/ref=sr_1_77?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-77,Disposable Face Masks - 50 PCS - For Home & Office - 3-Ply Breathable & Comfortable Filter Safety Mask,,4.5 out of 5 stars,"41,533 ratings",Only 4 left in stock - order soon., ALl Made in the USA 50 Masks included! Not for Medical use Comfortable Breathable Ear-loops,universal,NA,NA,3-ply,unisex,disposable,NA
108,/KN95-Face-Mask-Disposable-Efficiency%E2%89%A595/dp/B08NPSFTLR/ref=sr_1_78?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-78,"KN95 Face Mask - 25 Pack KN95 Disposable Masks, 5-Ply Protection Cup Dust Mask Efficiency≥95% Against PM2.5 Dust Pollen and Haze-Proof Multicolor",,4.7 out of 5 stars,678 ratings,In Stock.," 👍【Multi-effect Protection 5-Layer Face Mask】High breathable 5-ply protection cup dust masks use standard safety materials. The outermost 1 layer non-woven fabric can filter large particles, middle 2-layer melt-blown fabric can block more then 95% particles, 1 layer hot air cotton can filter pm2.5 and the innermost 1 layer non-woven fabric is skin-friendly and softer that give you the comfortable usage experience at the same time it protects your breath with high filter efficiency. 👍【Hygienic & Comfortable】This KN95 disposable face mask is foldable which is more hygienic and avoid pollution, can be perfectly placed in your backpack, purse and pocket, convenient to carry and use. Furthermore, the protection KN95 mask is lightweight and foldable, equipped with an adjustable nose clip and elastic ear hooks. Not easy to drop, no need to adjust it when you work. This design can help the mask perfectly attach onto your face with four sides tightly. 👍【3D Design】The 3D shape of KN95 cup dust mask is designed according to the human face shape to ensure the tightness, to fit the human face, to increase the breathing volume when use the face mask. Our Miuphro breathable face mask KN95 can greatly improve the permeability, and to make wearing and exhaling more comfortable. Meanwhile, the 3D design just protect your breath, and and won't destroy your makeup look. 👍【Portable】A lightweight and foldable design makes these face masks easy to fold into your bag, easy to incorporate and save space. You can carry with you to any where you want to go. They are a great choice to take along when you will be among people and want to stay safe. 👍【Widely Applicable】 Our KN95 face mask 25 pack are unisex and all one size. The mask KN95 can be applied in home, office, school, park, playground, indoors, outdoors and more congested and busy public places. Disclaimer: This KN95 mask is NOT an N95 mask and not NIOSH approved. For more information about KN95 masks please see the following before you purchase: amazon.com/AboutKN95s","large, ",NA,non-woven melt-spray,kn95,unisex,disposable,elastic
109,/Miuphro-Black-Protection-Against-Pollution/dp/B08NPKVCJG/ref=sr_1_79?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-79,"KN95 Face Mask 50 Pack, Miuphro Black KN95 Mask Protection Against PM2.5 Dust, Air Pollution",,4.6 out of 5 stars,294 ratings,In Stock.," ❤【The Filter Efficiency More Than 95%】Our KN95 mask is made of 2 non-woven outer layers, 2 melt-blown inner filter, 1 non-woven cotton middle layer, offers more protection than a standard disposable 3-Ply mask. The filter efficiency is 95% greatly keeping you from dust, PM 2.5, haze, smoke, automobile exhaust, etc ❤【Fit the Facial Lines】 These 50Pack KN95 face mask are lightweight and foldable, can cover mouth, nose and chin easily. Creates a tight seal & stops glasses from fogging. The 3D design provide enough space for you to breathe ❤【Skin-friendly and Comfortable】 These KN95 face mask use skin-friendly non-woven fabric, no irritation to your skin, High-elastic ear loops and adjustable nose clip to ensure a comfortable fit and no strain of ears. ❤【Provide Effective Protection】 High breathability 5-Layer Non-Woven masks using standard safety materials can provide multi-effect protection.offer a powerful 5-layered filter for extra support against debris and dust will help every mask wearer ❤【WIDELY USE】 It’s a best mask to wear it when you travel through congested airports, bus terminals, malls, party and busy city streets. keep you from dust, PM 2.5, haze, smoke, automobile exhaust, etc.Disclaimer: This KN95 mask is NOT an N95 mask. For more information about KN95 masks please see the following before you purchase: amazon.com/AboutKN95s",universal,various,non-woven melt-spray,kn95,unisex,disposable,elastic
110,/DIOLV-Disposable-Layer-Protective-Masks/dp/B08H1XHH37/ref=sr_1_80?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-80,DIOLV 50 Pcs Disposable Face Mask 3 Layer Protective Masks Black,,4.7 out of 5 stars,"4,775 ratings",In Stock.," Package: 50Pcs Face Mask in one box. Neatly packed. Dimension: 6.89 inch x 3.74 inch 3-Layer of Protection: Ideal mask with three-layer design, soft and comfortable Adjustable Metal Strip : Better fit your face, fits multiple face shape Elastic Ear Loops: with upgrade elastic ear loops, no pressure on your ears Recommend to replace a new mask in every 4 hours. If you receive the wrong size or wrong color face masks, please contact us",universal,black,NA,3 layer,mens,disposable,elastic
111,/Face-Masks-Kids-Pack-Adjustable/dp/B08DQB9MS7/ref=sr_1_81?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-81,"Face Masks for Kids (50 Individually Wrapped) - 4-Ply Kids Face Mask, Premium Non Medical Kids Mask with Longer Earloops & Adjustable Metal Nose Strip, Disposable Black Face Mask",,4.6 out of 5 stars,"17,208 ratings",In Stock.," 4 Layer Mask & 25% Thicker than the Average Mask – Unlike most flimsy 3-layered masks, our individually wrapped disposable non-medical black masks are designed with four high-quality layers that are at least 25% thicker than the average kids black face masks. Ultra-soft and comfortable, Viva Naturals black disposable mask for kids is designed for a snug and secure fit, without compromising on comfort.  Individually wrapped and easy to store, our masks are perfect for on-the-go convenience. Individually Wrapped for Easy Sharing – Every box includes 50 individually wrapped black face masks to help make it easier to share with family and friends. Your little ones will love wearing them during their favorite outdoor and indoor activities. Upgraded Ear Loops & Metal Nose Strip for a Perfect Fit – Viva Naturals black disposable mask ear loops fit comfortably and can be tied for a more personalized fit. Unlike a lesser quality black disposable face mask made with nylon and polyester round ear loops, ours are made from nylon and spandex for premium comfort and stretch. Adjustable metal nose strips helps your kids black face masks stay put during wear and are perfect for glasses wearers who want to reduce their lenses fogging up! Kid-Friendly Comfort for Everyday Wear – It can be difficult trying to get your little ones to wear a kid face mask. That’s why we created special disposable masks for kids! Our premium four layer design is at least 25% thicker than the average kids disposable face mask, while gentler ear loops and adjustable nose piece lets kids run and play while keeping a snug and secure fit. Suitable for children aged 4-12 years old with parental supervision. Made With Viva Naturals Quality You Trust - For almost a decade we at Viva Naturals have made it our mission to make wellness accessible to all and to bring you and your family high-quality products you can trust. We’ve put in every effort to ensure our new black disposable face mask is up to our standards, and yours.",childrens,various,mixed material,4-ply,unisex,disposable,elastic
112,/DEGREES-Reusable-Unisex-Comfort-Covering/dp/B08D6WQBMJ/ref=sr_1_82?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-82,"32 DEGREES Cool 3 Pack Reusable Unisex Adult Comfort Face Covering Mask, Large",,4.6 out of 5 stars,"2,760 ratings",In Stock.," PACK OF 3: Includes 2 black & 1 grey mask inside a sealed tamper-proof pouch. Available in size Medium and Large, please check below size chart for measurements. LIGHTWEIGHT BREATHABLE COMFORT: This fabric is made from ultra-fine yarns knitted into a high-density performance fabric, creating a mask that is lightweight, breathable, and soft against the skin. Fabric is made from 85% Polyester & 15% Spandex utilizing special ATB-UV+ yarns which contain silver ions. SINGLE-PLY 3-LAYER CONSTRUCTION: This mask is made using a special knitted construction, which allows this single-ply thin piece of fabric to have a 3-layer structure, consisting of a top and bottom layer of high-density performance fabric, knitted together by a connecting layer of ultra-fine yarns. This creates a dense multi-layer structure in line with CDC recommendations. QUICK DRY: A uniquely designed fiber cross-section allows this mask to dry at more than double the rate of cotton fabrics. This allows exhaled moisture to evaporate much faster, reducing the hot and clammy feeling common to other masks, keeping you cooler and more comfortable. UV PROTECTION: Due to high-density construction, this mask is rated UPF 50+ blocking ultraviolet rays UV-A (290-320nm) and UV-B (320-400nm). STRETCH & FIT: As per CDC guidelines, a proper snug fit is one of the most important criteria for masks. By using a 15% spandex stretch fabric with a middle seam construction, this mask allows for a better fit and seal, which minimize the gaps where outside air can flow in.","large, medium, adult, ",various,mixed material,NA,unisex,reusable,elastic
113,/Disposable-Face-Mask-Pack-Blue/dp/B086MPXGKJ/ref=sr_1_83?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-83,Disposable Face Mask - Pack of 50 - Blue,,4.5 out of 5 stars,"4,949 ratings",In Stock.," SUPERIOR PROTECTION: Efficiently filter out dust and allergens with these disposable masks for protection from Day 1 Fitness. Designed with three layers of protection, our dust masks come in packs of 50, which is ideal for daily use. HIGHLY EFFICIENT: Our masks have 3 levels of protection. The outer layer filters out dust, odors and large particles, while the key meltblown layer filters small particles. The inner skin-care layer is a natural and anti-allergen filter. FIT ADJUSTMENTS: (See Image 7 for fitting tips) This non-surgical face mask is designed with soft, non-woven material, making it comfortable to use every day. Elastic ear loops included to easily fit all sizes. CONTOUR NOSE STRIP: These masks include a contour nose strip to create a better fit. Secure face mask with elastic ear loops, press gently on the nose strip to fit the shape of the nose and expand mask pleats to cover mouth and chin for best fit. DEPENDABLE QUALITY: These breathable face masks are designed to keep you free of pollen, dust, haze and more. We are confident that this face mask will give you the protection you need and offer a fully refunded 30-day return policy.","large, small, ",blue,non-woven melt-spray,NA,mens,disposable,elastic
114,/Disposable-Breathable-Designs-Colorful-Adjustable/dp/B08QJDWLZ1/ref=sr_1_84?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-84,"Disposable Face Masks for Women, Breathable Face Mask for Adults with Cute Designs, Colorful Lace Fashion Pattern, Adjustable Nose Wire and Elastic Ear Loops. 50Pcs",,4.5 out of 5 stars,150 ratings,In Stock.," 👉【Three Layers Breathable Face Mask】: The disposable face mask are made of high quality. Outer layer help to block the polluted air particles. Middle layer has good air filtration.The inner layer is breathable and skin-friendly. 👉【Fashion Disposable Face Mask with Design】: The disposable face mask with sexy and elegance lace print pattern, make you look more fashionable and chic, suitable for women, lady, girls and most people. Notice it's printed pattern not lace material. 👉【Friendly Design Face Mask】: Face mask disposable with strong and soft elastic ear loops, pose less press to ears and face, suitable for long time to wear. Designer face mask with adjustable and bendable metal nose clip fits your face better. 👉【Widely application】: There are five color fancy lace face mask in the box.You can choose a matching color mask according to your mood or clothing. It can be used for any occasions. Suitable for costume parties, office, wedding, cocktail parties etc. Applies to outdoor and indoor Size: 6.8“ x 3.7“, Using 5 individual packages, 10 Pcs are packed in each plastic bag. It will be more sanitary and convenient in daily use. 50Pcs in the box.",childrens,colorful,NA,NA,unisex,disposable,elastic
115,/Anti-Microbial-Reusable-Adjustable-Breathable-coRevival/dp/B08CZGZLNN/ref=sr_1_85?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-85,"Face Mask | Adult 2-Pack | Anti-Microbial, Reusable, Cloth, Adjustable, Breathable | The Revival Mask by coRevival (Gray)",,4.4 out of 5 stars,"1,016 ratings",In Stock.," EVERYDAY COMFORT: Soft and breathable, the 100% cotton inner layer allows you to wear your mask all day without irritation or discomfort. We made the Revival Mask with a 3-piece panel design to ensure a comfortable fit that stays in place while talking or during activity. ADJUSTABLE: The one-size mask comes equipped with adjustable ear straps to ensure a perfect and secure fit that doesn't pull on your ears while wearing.. WASHABLE & REUSABLE: The Revival Mask is machine washable (cold water only!), allowing you to reuse multiple times - no more uncomfortable disposable masks. PROTECTION: The Revival Mask consists of 2 filter layers with an anti-microbial coating. The metal metal nose bridge is designed to provide a protective seal (with the added benefit of preventing your glasses from fogging). FUNCTIONAL DESIGN: Contoured design to fit the shape of your face. For an extra-perfect fit, tuck the fabric nose and chin flaps to have the mask sit comfortably on your face.","adult, ",various,cotton,NA,unisex,disposable,adjustable
116,/Dr-Talbots-Disposable-Personal-Health/dp/B08QG5LLPG/ref=sr_1_86?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-86,"Dr. Talbot's Disposable Kid's Face Mask for Personal Health, Boy 2-5 Years, Prints May Vary, 10 Count",,4.8 out of 5 stars,"1,070 ratings",In Stock.," Pack of 10 This mask is not FDA-approved, not intended for medical use, and not proven to reduce the transmission of disease The CDC recommends use of cotton or cloth face coverings in public to reduce community spread by asymptomatic persons Dispose after single use",childrens,red,cotton,NA,mens,disposable,NA
117,/Gildan-Adult-Reusable-3-Layer-Cotton/dp/B089ZDLCC4/ref=sr_1_87?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-87,Gildan Adult Reusable 3-Layer Ear Loop Face Mask (24 Pack),,4.3 out of 5 stars,"4,428 ratings",In Stock.," Outer Layer: 100% Polyester; Inner Layer: 100% Ring-spun Cotton Imported Pack of 24 Machine Washable and Reusable The CDC recommends use of cotton or cloth face coverings in public to reduce community spread by asymptomatic persons 3-layer protective construction, intended for everyday wear Soft, elastic ear loops ensure a stay-put fit","adult, ",red,mixed material,NA,mens,reusable,elastic
118,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg4_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_88_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618896121%26s%3Dhpc%26sr%3D1-88-spons%26psc%3D1&qualifier=1618896121&id=2401651481416609&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,147 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,mens,reusable,elastic
119,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg4_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_89_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618896121%26s%3Dhpc%26sr%3D1-89-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618896121&id=2401651481416609&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,NA,NA,mens,disposable,NA
120,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg4_1?ie=UTF8&adId=A0950100S2LSADYRJJM1&url=%2FPrivate-Profile-Face-Mask-Reusable%2Fdp%2FB08H9NSZZ5%2Fref%3Dsr_1_90_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618896121%26s%3Dhpc%26sr%3D1-90-spons%26psc%3D1&qualifier=1618896121&id=2401651481416609&widgetName=sp_mtf,Private Profile Face Mask Designed By Lus Kaos- Limited Edition,,Previous page of related Sponsored Products,,In Stock.,,universal,NA,NA,NA,unisex,NA,NA
121,/3ply-Disposable-Face-Mask-Count/dp/B08852WYM2/ref=sr_1_91?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-91,"3ply Disposable Face Mask, 50 Count",,4.5 out of 5 stars,"6,223 ratings",In Stock.," This mask is not intended for medical use, and not proven to reduce the transmission of disease This is a general use face mask 50 pack, 3-ply face mask Made in China",universal,red,NA,3-ply,unisex,disposable,NA
122,/WeCare-Disposable-Face-Individually-Wrapped/dp/B08SJ73QSM/ref=sr_1_92?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-92,"WeCare Disposable Face Mask Individually Wrapped - 50 Pack, Spring Print Masks - 3 Ply",,4.8 out of 5 stars,257 ratings,," READY TO GO: Each mask in this box is individually sealed so they are perfect to throw in your purse, backpack, gym bag, or even stash in your pocket! Perfect for dispensers, offices, schools and reception areas. LIGHT & BREATHABLE: Designed for the utmost in comfort, these individual masks are painless and adjustable. They offer full coverage of the nose and mouth and are comfortable for extended wear, including air travel. 3 PROTECTIVE LAYERS: The innermost layer is super soft and gentle on the skin, and the outer leak-proof layer covers the high density filter. Made with non-woven materials, these paper masks are latex free. EFFECTIVE FILTRATION: The glass free filter is effective at filtering many types of particles. Perfect for everyday wear. An adjustable wire runs along the top to serve as an adjustable nose clip. MULTI USE COLORED MASKS: Designed for non medical use, these disposable masks come in all kinds of colors and in both kids and adult sizes. Also available are black, blue, pink, tie dye, navy, red, peach, plaid and other colors!",childrens,various,non-woven melt-spray,3 ply,mens,disposable,NA
123,/DIOLV-Disposable-Filtration-Breathable-Protection/dp/B08HGYZJSK/ref=sr_1_93?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-93,"DIOLV Disposable Kids Face Mask 3-Layer Filtration, 50Pcs/Pack",$9.34 ,4.6 out of 5 stars,"1,608 ratings",In Stock.," [Film packaging] The outer layer of the disposable mask is sealed with a film to ensure the safety of the mask [Effective Protection] 1-layer inner material made of non-woven fabric and 2-layer outer material made of spunbond non-woven fabric melt blown filter fabric [Comfortable Mask] Breathable face mask is more comfortable and relaxed, suitable for people who are not used to wearing masks [Solid Ear Straps] The ear straps are stitched with reinforced ultrasonic welding points, which can withstand 4 pounds of pulling force [Multiple Occasions]: Bus, subway, cinema, park, shopping, party, kitchen, daily, gardening, indoor, outdoor, etc.",childrens,NA,non-woven melt-spray,NA,unisex,disposable,NA
124,/Washable-Filter-Pocket-Reusable-Adjustable/dp/B08QNBNMPP/ref=sr_1_94?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-94,"6 Pack Cloth Face Mask Washable with Nose Wire and Filter Pocket, Reusable Cotton Fabric Adjustable Face Masks for Women and Men",,4.8 out of 5 stars,130 ratings,In Stock.," 【Package includes】：You will receive 6 pack cloth face masks, black x1, burgundy x1, light gray x1, royal blue x1,armygreen x1, navy blue x1 .One size fits for most people. 【High-quality material】： These fashion face masks are handmade with 60%-70% cotton fabrics and 30%-40% polyester.They are cute ,breathable, and very durable.It is very comfortable to wear and very good-looking for adults, and it is also very good with clothing. 【Comfortable and Adjustable】 : Three layers cotton face mask with nose wire helps create a comfortable barrier for nose and mouth.It has an elastic earloop, you can wear it for a long time.It can be adjusted according to your face to make it fit better. 【Washable and Reusable Face Mask】：These washable face mask for women and men will not shrink,can be reused. More hygienic and stays in place better than wearing a scarf, bandana, neck wrap or balaclava. 【Broad applicability and Protection】 : Face mask with filter pocket providing more protection for your face and mouths.You can insert the filter in the pocket (there is no filter in this set, it needs to be purchased separately).This product will protect you from outdoor,cold,ash,pollen,fog ,haze,vehicle exhaust,passive smoking and so on.For a variety of locations, such as commuting, schooling, cleaning, gardening, skiing,hiking and outdoor activities.","adult, ",various,mixed material,filter pocket,unisex,reusable,elastic
125,/EHH-Disposable-Breathable-Comfortable-Elastic/dp/B08CVCVPL8/ref=sr_1_95?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-95,"Black Disposable Face Mask, Face Mask for Man and Women, Breathable & Comfortable, 3- Ply, with Adjustable Nose Wire & Elastic Ear Loop (50 Pcs), Black",,4.6 out of 5 stars,"3,771 ratings",In Stock.," 【Three Layers Protection Face Mask】: The black disposable face mask are made of high quality thickening material. Outer layer help to block the polluted air particles. Middle layer has good air filtration. The inner layer is breathable and gentle. 【Breathable & Comfortable Face Mask Design】: Soft layer are gentle to skin, the face mask with elastic ear loops, eliminate press to ears and face, suitable for long time to wear. 【Humanize Face Mask Design】: Adjustable metal nose clip keep tightness but still breathable, fits your face better. Suitable for men, women and most people. 【Widely application】: Suitable for people in the haze, fog, dust weather, etc. It not only applies to private places such as home and office, but also applies to public places such as school and outdoor. Effectively prevent pollution, liquid and dust. Size: 6.8“ x 3.7“(±5%). This face mask are disposable and cannot be reused. We upgraded most face masks to be individually packaged. It will replace which vacuum sealed in packs of 10 each before. They are more hygienic and more convenient to carry.",universal,black,NA,NA,unisex,disposable,elastic
126,/3-Ply-Disposable-Face-Mask-Size/dp/B08CXHJJFY/ref=sr_1_96?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-96,"BYD CARE Single Use Disposable 3-Ply Surgical Mask Level 2, Box of 50 PCs",,4.6 out of 5 stars,"1,450 ratings",In Stock.," Level 2 surgical mask, box of 50pcs, each 10 pcs are individually wrapped for convenience, travel and distribution; Easy to breathe and comfortable to wear for day-to-day activities; One-size-fit-the-most design with adjustability to different users; 3 layers of high-quality non-woven fabric: breathable materials to provide comfort; Soft and comfortable to wear; Smooth and breathable.",universal,NA,non-woven melt-spray,3-ply,unisex,disposable,NA
127,/Face-Mask-Grey-Disposable-25Pcs/dp/B08P73MNV7/ref=sr_1_97?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-97,Face Mask Grey Disposable 25Pcs,,5.0 out of 5 stars,1 rating,In Stock.," Package - 25 pcs Imported 3-ply, with a melt-blown polypropylene filtration layer. This is a general use face mask. One size fits all",universal,grey,mixed material,3-ply,unisex,disposable,NA
128,/Kids-Face-Disposable-50-Colorful-Girls-Soft/dp/B08JGH651S/ref=sr_1_98?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-98,"Kids Face Mask Disposable-50 Pack Colorful Mask for Boys and Girls-Soft on Skin, 3 Ply - 5.7"" x 3.74"" Children's Size - for Childcare, School, Daily Use",,4.7 out of 5 stars,"3,940 ratings",In Stock.," 【Perfect for Kids】Sized at 3.74 inches x 5.7 inches (±5%), they fit comfortably on boys and girls, especially suitable for kids to go to school, outdoor activities, shopping and other activities. High-elastic cotton earbands, ears won't hurt when worn in a long time. 【Carefree Breathing】Designed for the utmost in comfort, these masks are painless and adjustable. adjustable nose bridge and elastic earloop has enough elasticity to make a fine seal, let your kids feel free and comfortable breathing even playing. 【3-Ply Protective Design】The XDX face mask is designed with 3 layers to protect kids effectively. Outer colorful layer with non-woven fabric can effectively filter particulate pollutants in the air. Middle melt-blown cloth layer can effectively keep away from impurities. Inner absorbent white non-woven layer is gentle and more breathable. Protect children against Haze, Dust, Carbinol, Pollen, Exhaust and etc. 【5 Colors, Vacuum Packaging】The XDX colorful face masks for kids come with 5 colors. Let your kid be the cutest boy or girl. Each color masks are individually packaged. They are all vacuum packed, safer and healthier. It is convenient to take them if traveling or go out. 【Daily Using】 3ply, 5 color, 50pcs kids face masks for daily use. All well-selected materials and components to ensure the safety of users. All XDX products will be with our 60-Day No-Quibble Money Back policy and 18 months Replacement supports, support 7*24h technology service.",childrens,colorful,non-woven melt-spray,3-ply,unisex,disposable,elastic
129,/Disposable-Fashionable-FaceMask-FaceCovering-Protections/dp/B08WYTZNK3/ref=sr_1_99?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-99,50pcs Adult Disposable 3 Layer Mask Novelty Fashionable Flower Printed FaceMask For Men Women with Graphic Designs Printed FaceCovering Holiday Mouth Cover Face Protections (K),,4.5 out of 5 stars,399 ratings,In Stock.," 3 ply FACE MASK Made in USA(品牌注册的你敢跟我敢让你死---VAIFTILNO VAIFTILNO sell by wencici） 【Soft & Comfortable】Made of environmental friendly material, soft and comfortable, suit for most of people. Colorful Print make you more fashionable.It protects you while making you look very stylish and temperament. 【Excellent Material 】.Three-Layer: Outer color layer is a water-resistant layer, say goodbye to splashing liquid; Middle layer is a filtering layer, say bye to particles from 0.3 to 1.0 pm. Inner layer is a water absorbing layer, which can absorb the moisture from the breath of the wearer, avoid the filtering layer from getting wet. 【Fashion Design】Novelty Print face mask is perfect for any occassions. Not only weddings, bridal showers, communion, girl’s ladies night out, parties, cocktail parties, professional work event, office, evening wear also perfect for Christmas Gifts, Costume Parties, Carnivals. 【Perfect design】, when you wear it , it fits seamlessly into your face. Elastic ear loop is easy to wear and no pressure to the ears. 【HEALTHY PROTECTION】 - Please avoid sunlight and dust when taking risks! Has many uses. Our cloth shields are also very suitable for outdoor, bus, subway, hospital, sports, running, hiking, etc. Stylish design makes you look more fashionable.","adult, girl, ",colorful,NA,3 ply,unisex,disposable,elastic
130,/WeCare-Disposable-Collection-Individually-Wrapped/dp/B08SHWHQ5F/ref=sr_1_100?dchild=1&keywords=face+mask&qid=1618896121&s=hpc&sr=1-100,"WeCare Disposable Face Masks For Kids, 50 Sport Collection Face Masks, Individually Wrapped",,4.8 out of 5 stars,259 ratings,In Stock.," PERFECT FOR KIDS: Sized at 3.7 inches x 5.7 inches, they fit comfortably on boys and girls, even toddlers! Now you can take your children with you to the store, go on trips, and send them to school or camp safely! READY TO GO: Each mask in this box is individually sealed so they are perfect to throw in your purse, handbag, or stash in your child's pocket or backpack and they will remain sanitary and clean! CUTEST COLORS & DESIGNS: Let your kid be the cutest boy or girl on the block with this adorable blue mask. WeCare also has children’s masks in more than a dozen solid colors and fun prints, as well as matching adult masks. LIGHT & BREATHABLE: Designed for the utmost in comfort, these masks are painless and adjustable. They offer full coverage of the nose and mouth and allow kids to play and learn freely. 3 PROTECTIVE LAYERS: The innermost layer is super soft and gentle on the skin, and the outer leak-proof layer covers the high density filter. Latex free. An adjustable metal wire runs along the top as a nose clip.",childrens,blue,NA,NA,unisex,disposable,NA
